"Campaign Name","Ad Set Name",Platform,"Delivery Status","Delivery Level","Campaign Name","Result Type",Results,Reach,Impressions,"Cost per Result","Amount Spent (ARS)","3-Second Video Views","Video Average Watch Time",Frequency,Starts,Ends,"Link Clicks","CPC (Cost per Link Click)","CTR (Link Click-Through Rate)","Post Reactions","Post Comments","Post Shares","10-Second Video Views","Cost per 10-Second Video View","Reporting Starts","Reporting Ends"
"MAYO /JUNIO - MX - AO - BENEFICIOS - VIEWS - IG","BENEFICIOS - IG +  MX",instagram,completed,adset,"MAYO /JUNIO - MX - AO - BENEFICIOS - VIEWS - IG",ThruPlay,6846,111455,167053,1.278118609407,8750,51342,3,1.4988380960926,2019-06-03,2019-06-30,,,,223,2,7,11931,0.73338362,2019-05-24,2019-06-30
"MAYO/JUNIO - MX - STRY - WEBBY","MX - WEBBY - STRY",instagram,completed,adset,"MAYO/JUNIO - MX - STRY - WEBBY",ThruPlay,7393,66881,135354,1.1835520086568,8750,12824,1,2.023803471838,2019-05-27,2019-06-30,,,,,,,8295,1.05485232,2019-05-24,2019-06-30
"MAYO/JUNIO MX -AO - VIEWS -SEGURIDAD - FB","MX - SEGURIDAD - FB",instagram,completed,adset,"MAYO/JUNIO MX -AO - VIEWS -SEGURIDAD - FB",ThruPlay,9,740,740,1.8655726122194,16.790153509975,78,2,1,2019-05-24,2019-06-30,,,,1,,,17,0.98765609,2019-05-24,2019-06-30
"MAYO/JUNIO MX -AO - VIEWS -SEGURIDAD - FB","MX - SEGURIDAD - FB",audience_network,completed,adset,"MAYO/JUNIO MX -AO - VIEWS -SEGURIDAD - FB",ThruPlay,2445,6336,10652,0.42546401265607,1040.2595109441,10438,10,1.6811868686869,2019-05-24,2019-06-30,,,,,,,3163,0.32888382,2019-05-24,2019-06-30
"MAYO - JUNIO - BR - AO -SEGURIDAD - VIEWS","SEGURIDAD - FB",instagram,completed,adset,"MAYO - JUNIO - BR - AO -SEGURIDAD - VIEWS",ThruPlay,161,5632,5979,1.0707404468014,172.38921193503,891,2,1.0616122159091,2019-05-24,2019-06-30,,,,10,,,259,0.66559541,2019-05-24,2019-06-30
"MAYO - JUNIO - BR - AO -SEGURIDAD - VIEWS","SEGURIDAD - FB",audience_network,completed,adset,"MAYO - JUNIO - BR - AO -SEGURIDAD - VIEWS",ThruPlay,1020,1792,3725,0.53043875160772,541.04752663988,3643,11,2.0786830357143,2019-05-24,2019-06-30,,,,,,,1184,0.45696582,2019-05-24,2019-06-30
"MAYO - JUNIO - BR - AO -SEGURIDAD - VIEWS","SEGURIDAD - FB",facebook,completed,adset,"MAYO - JUNIO - BR - AO -SEGURIDAD - VIEWS",ThruPlay,4986,69536,185119,1.6118257644254,8036.5632614251,20780,3,2.6622037505752,2019-05-24,2019-06-30,,,,30,8,1,7289,1.10256047,2019-05-24,2019-06-30
"MAYO - BR - IG - DORA","BR - DORA - FB",instagram,not_delivering,adset,"MAYO - BR - IG - DORA",ThruPlay,876,28264,30450,0.86522831050228,757.94,4704,2,1.0773422020945,2019-05-27,2019-06-30,,,,68,,,1136,0.6672007,2019-05-24,2019-06-30
"MAYO/JUNIO - BR - IG - DORA","BR - DORA - IG",instagram,completed,adset,"MAYO/JUNIO - BR - IG - DORA",ThruPlay,8695,174209,286233,1.0063254744106,8750,46066,2,1.6430437003829,2019-05-28,2019-06-30,,,,620,5,9,11494,0.76126675,2019-05-24,2019-06-30
"MAYO/JUNIO -  BR  - VIEWS - BENEFICIOS - FB","BENEFICIOS - FB - BR",facebook,completed,adset,"MAYO/JUNIO -  BR  - VIEWS - BENEFICIOS - FB",ThruPlay,6380,83328,147404,1.2007570532915,7660.83,35323,3,1.7689612135177,2019-05-24,2019-06-30,768,9.97503906,0.52101706873626,164,12,18,11210,0.68339251,2019-05-24,2019-06-30
"MAYO/JUNIO BR - SEGURIDAD - IG","BR - SEGURIDAD - IG",instagram,completed,adset,"MAYO/JUNIO BR - SEGURIDAD - IG",ThruPlay,4792,148416,250394,1.825959933222,8750,33727,2,1.6871092065545,2019-06-03,2019-06-30,,,,169,1,4,7976,1.09704112,2019-05-24,2019-06-30
"MAYO/JUNIO -  BR  - VIEWS - BENEFICIOS - FB","BENEFICIOS - FB - BR",instagram,completed,adset,"MAYO/JUNIO -  BR  - VIEWS - BENEFICIOS - FB",ThruPlay,3,146,146,0.58333333333333,1.75,36,3,1,2019-05-24,2019-06-30,,,,,,,6,0.29166667,2019-05-24,2019-06-30
"MAYO/JUNIO -  BR  - VIEWS - BENEFICIOS - FB","BENEFICIOS - FB - BR",audience_network,completed,adset,"MAYO/JUNIO -  BR  - VIEWS - BENEFICIOS - FB",ThruPlay,9056,8080,9575,0.12007729681979,1087.42,9562,18,1.1850247524752,2019-05-24,2019-06-30,29,37.49724138,0.30287206266319,,,,9100,0.1194967,2019-05-24,2019-06-30
"MAYO /JUNIO - MX - AO - BENEFICIOS - VIEWS - FB","BENEFICIOS - FB +  MX",facebook,completed,adset,"MAYO /JUNIO - MX - AO - BENEFICIOS - VIEWS - FB",ThruPlay,15922,175741,330365,0.54955407612109,8750,75562,3,1.8798402194138,2019-05-24,2019-06-30,,,,176,5,29,26574,0.32926921,2019-05-24,2019-06-30
"MAYO/JUNIO - MX - IG - DORA","MX - DORA - IG FEED",instagram,completed,adset,"MAYO/JUNIO - MX - IG - DORA",ThruPlay,6648,123039,196671,1.3161793020457,8749.96,34610,2,1.5984443956794,2019-05-27,2019-06-30,,,,486,6,29,8596,1.01791066,2019-05-24,2019-06-30
"MAYO/JUNIO - BR - BENEFICIOS - IG","BR - BENEFICIOS - IG",instagram,completed,adset,"MAYO/JUNIO - BR - BENEFICIOS - IG",ThruPlay,1985,45528,62710,1.007556675063,2000,16235,3,1.3773941310842,2019-06-03,2019-06-30,,,,98,1,4,3710,0.53908356,2019-05-24,2019-06-30
"MAYO /JUNIO - BR - STRY - WEBBY","BR - WEBBY - STRY",instagram,completed,adset,"MAYO /JUNIO - BR - STRY - WEBBY",ThruPlay,10749,90815,170675,0.81402921201972,8750,18085,1,1.8793701481033,2019-05-27,2019-06-30,,,,,,1,11996,0.7294098,2019-05-24,2019-06-30
"MAYO/JUNIO MX -AO - VIEWS -SEGURIDAD - IG","MX - SEGURIDAD - IG",instagram,completed,adset,"MAYO/JUNIO MX -AO - VIEWS -SEGURIDAD - IG",ThruPlay,3469,109185,184883,2.5223407321995,8750,23080,2,1.6933003617713,2019-06-03,2019-06-30,,,,129,1,2,5528,1.58285094,2019-05-24,2019-06-30
"MAYO/JUNIO MX -AO - VIEWS -SEGURIDAD - FB","MX - SEGURIDAD - FB",facebook,completed,adset,"MAYO/JUNIO MX -AO - VIEWS -SEGURIDAD - FB",ThruPlay,8109,106369,265338,0.94869285183696,7692.9503355459,28567,3,2.4945049779541,2019-05-24,2019-06-30,,,,168,3,23,11213,0.68607423,2019-05-24,2019-06-30
